episode,reward_type,total_reward,dirt_collected,epsilon
14,heavy_safety,-1625.0,74,0.9284
15,heavy_safety,-1665.0,74,0.9236
16,heavy_safety,-3335.0,80,0.9188
17,heavy_safety,-2775.0,82,0.9141
18,heavy_safety,-2010.0,58,0.9093
19,heavy_safety,-1805.0,69,0.9045
20,heavy_safety,-1525.0,67,0.8997
21,heavy_safety,-2035.0,71,0.895
22,heavy_safety,-4180.0,68,0.8902
23,heavy_safety,-1700.0,76,0.8854
24,heavy_safety,-2135.0,56,0.8807
25,heavy_safety,-2655.0,57,0.8759
26,heavy_safety,-1945.0,89,0.8711
27,heavy_safety,-2255.0,60,0.8663
28,heavy_safety,-2590.0,76,0.8616
29,heavy_safety,-2450.0,68,0.8568
30,heavy_safety,-2600.0,75,0.852
31,heavy_safety,-1530.0,65,0.8472
32,heavy_safety,-1230.0,70,0.8425
33,heavy_safety,-1415.0,67,0.8377
34,heavy_safety,-2015.0,88,0.8329
35,heavy_safety,-2300.0,67,0.8281
36,heavy_safety,-1945.0,83,0.8234
37,heavy_safety,-1330.0,64,0.8186
38,heavy_safety,-2035.0,84,0.8138
39,heavy_safety,-3800.0,68,0.809
40,heavy_safety,-1325.0,83,0.8043
41,heavy_safety,-3175.0,73,0.7995
42,heavy_safety,-2585.0,78,0.7947
43,heavy_safety,-2245.0,85,0.7899
44,heavy_safety,-785.0,66,0.7852
45,heavy_safety,-2650.0,36,0.7804
46,heavy_safety,-1820.0,67,0.7756
47,heavy_safety,-1040.0,89,0.7709
48,heavy_safety,-2160.0,49,0.7661
49,heavy_safety,-3375.0,67,0.7613
50,heavy_safety,-1795.0,73,0.7565
51,heavy_safety,-2265.0,63,0.7518
52,heavy_safety,-1840.0,79,0.747
53,heavy_safety,-1540.0,88,0.7422
54,heavy_safety,-3370.0,65,0.7374
55,heavy_safety,-2565.0,60,0.7327
56,heavy_safety,-2915.0,73,0.7279
57,heavy_safety,-1705.0,67,0.7231
58,heavy_safety,-1100.0,70,0.7183
59,heavy_safety,-2080.0,51,0.7136
60,heavy_safety,-2885.0,72,0.7088
61,heavy_safety,-1750.0,45,0.704
62,heavy_safety,-2305.0,87,0.6992
63,heavy_safety,-2565.0,76,0.6945
64,heavy_safety,-2705.0,59,0.6897
65,heavy_safety,-1560.0,68,0.6849
66,heavy_safety,-1255.0,45,0.6802
67,heavy_safety,-1745.0,92,0.6754
68,heavy_safety,-1830.0,47,0.6706
69,heavy_safety,-2235.0,77,0.6658
70,heavy_safety,-2790.0,56,0.6611
71,heavy_safety,-2220.0,76,0.6563
72,heavy_safety,-2035.0,73,0.6515
73,heavy_safety,-2130.0,57,0.6467
74,heavy_safety,-1725.0,74,0.642
75,heavy_safety,-2720.0,55,0.6372
76,heavy_safety,-2075.0,66,0.6324
77,heavy_safety,-2385.0,59,0.6276
78,heavy_safety,-2010.0,87,0.6229
79,heavy_safety,-1610.0,70,0.6181
80,heavy_safety,-3740.0,88,0.6133
81,heavy_safety,-2485.0,60,0.6085
82,heavy_safety,-865.0,73,0.6038
83,heavy_safety,-2540.0,85,0.599
84,heavy_safety,-1035.0,84,0.5942
85,heavy_safety,-1640.0,77,0.5894
86,heavy_safety,-1775.0,70,0.5847
87,heavy_safety,-3085.0,100,0.5799
88,heavy_safety,-3530.0,83,0.5751
89,heavy_safety,-1885.0,66,0.5704
90,heavy_safety,-2360.0,71,0.5656
91,heavy_safety,-2695.0,73,0.5608
92,heavy_safety,-2250.0,63,0.556
93,heavy_safety,-3095.0,49,0.5513
94,heavy_safety,-2255.0,64,0.5465
95,heavy_safety,-3235.0,84,0.5417
96,heavy_safety,-2100.0,65,0.5369
97,heavy_safety,-7290.0,64,0.5322
98,heavy_safety,-2065.0,61,0.5274
99,heavy_safety,-1625.0,54,0.5226
100,heavy_safety,-2795.0,59,0.5178
101,heavy_safety,-2920.0,55,0.5131
102,heavy_safety,-2785.0,82,0.5083
103,heavy_safety,-2655.0,68,0.5035
104,heavy_safety,-4715.0,71,0.4987
105,heavy_safety,-2430.0,49,0.494
106,heavy_safety,-2155.0,65,0.4892
107,heavy_safety,-2440.0,75,0.4844
108,heavy_safety,-3675.0,64,0.4796
109,heavy_safety,-1655.0,75,0.4749
110,heavy_safety,-2305.0,69,0.4701
111,heavy_safety,-2600.0,74,0.4653
112,heavy_safety,-1150.0,66,0.4606
113,heavy_safety,-4035.0,59,0.4558
114,heavy_safety,-5980.0,48,0.451
115,heavy_safety,-3535.0,83,0.4462
116,heavy_safety,-1335.0,98,0.4415
117,heavy_safety,-3760.0,64,0.4367
118,heavy_safety,-3730.0,52,0.4319
119,heavy_safety,-1895.0,87,0.4271
120,heavy_safety,-3030.0,53,0.4224
121,heavy_safety,-1510.0,76,0.4176
122,heavy_safety,-3855.0,69,0.4128
123,heavy_safety,-1005.0,69,0.408
124,heavy_safety,-1305.0,76,0.4033
125,heavy_safety,-2900.0,63,0.3985
126,heavy_safety,-1835.0,52,0.3937
127,heavy_safety,-1590.0,72,0.3889
128,heavy_safety,-2135.0,99,0.3842
129,heavy_safety,-2010.0,88,0.3794
130,heavy_safety,-3340.0,68,0.3746
131,heavy_safety,-2255.0,62,0.3698
132,heavy_safety,-1030.0,68,0.3651
133,heavy_safety,-2300.0,68,0.3603
134,heavy_safety,-3845.0,67,0.3555
135,heavy_safety,-1915.0,71,0.3508
136,heavy_safety,-800.0,74,0.346
137,heavy_safety,-1770.0,58,0.3412
138,heavy_safety,-1370.0,103,0.3364
139,heavy_safety,-2790.0,60,0.3317
140,heavy_safety,-2005.0,79,0.3269
141,heavy_safety,-1890.0,104,0.3221
142,heavy_safety,-1685.0,90,0.3173
143,heavy_safety,-3340.0,67,0.3126
144,heavy_safety,-5300.0,65,0.3078
145,heavy_safety,-1570.0,72,0.303
146,heavy_safety,-4270.0,72,0.2982
147,heavy_safety,-1440.0,86,0.2935
148,heavy_safety,-1040.0,57,0.2887
149,heavy_safety,-1860.0,59,0.2839
150,heavy_safety,-990.0,64,0.2791
151,heavy_safety,-2665.0,86,0.2744
152,heavy_safety,-3170.0,64,0.2696
153,heavy_safety,-3810.0,65,0.2648
154,heavy_safety,-2615.0,67,0.2601
155,heavy_safety,-2345.0,82,0.2553
156,heavy_safety,-1700.0,68,0.2505
157,heavy_safety,-3035.0,83,0.2457
158,heavy_safety,-2265.0,99,0.241
159,heavy_safety,-1260.0,63,0.2362
160,heavy_safety,-2210.0,80,0.2314
161,heavy_safety,-3090.0,100,0.2266
162,heavy_safety,-1380.0,50,0.2219
163,heavy_safety,-1925.0,58,0.2171
164,heavy_safety,-1275.0,72,0.2123
165,heavy_safety,-2600.0,46,0.2075
166,heavy_safety,-2180.0,72,0.2028
167,heavy_safety,-1165.0,86,0.198
168,heavy_safety,-865.0,74,0.1932
169,heavy_safety,-1150.0,65,0.1884
170,heavy_safety,-1790.0,112,0.1837
171,heavy_safety,-2350.0,66,0.1789
172,heavy_safety,-1975.0,76,0.1741
173,heavy_safety,-1850.0,81,0.1693
174,heavy_safety,-2590.0,87,0.1646
175,heavy_safety,-2480.0,55,0.1598
176,heavy_safety,-1930.0,79,0.155
177,heavy_safety,-1595.0,65,0.1503
178,heavy_safety,-3685.0,62,0.1455
179,heavy_safety,-2845.0,64,0.1407
180,heavy_safety,-1740.0,71,0.1359
181,heavy_safety,-1275.0,99,0.1312
182,heavy_safety,-2195.0,69,0.1264
