brain_type,duration_type,seed,frame,coverage_pct
coverage,short,5,1300,0.1556
coverage,short,5,1400,0.1624
coverage,short,5,1500,0.168
coverage,short,6,100,0.01
coverage,short,6,200,0.0144
coverage,short,6,300,0.0244
coverage,short,6,400,0.0348
coverage,short,6,500,0.0416
coverage,short,6,600,0.056
coverage,short,6,700,0.06
coverage,short,6,800,0.0748
coverage,short,6,900,0.082
coverage,short,6,1000,0.086
coverage,short,6,1100,0.0912
coverage,short,6,1200,0.0968
coverage,short,6,1300,0.1056
coverage,short,6,1400,0.1164
coverage,short,6,1500,0.1316
coverage,short,7,100,0.0144
coverage,short,7,200,0.0228
coverage,short,7,300,0.0288
coverage,short,7,400,0.036
coverage,short,7,500,0.0452
coverage,short,7,600,0.0548
coverage,short,7,700,0.062
coverage,short,7,800,0.0724
coverage,short,7,900,0.082
coverage,short,7,1000,0.0856
coverage,short,7,1100,0.0908
coverage,short,7,1200,0.0972
coverage,short,7,1300,0.1016
coverage,short,7,1400,0.1076
coverage,short,7,1500,0.1128
coverage,short,8,100,0.0088
coverage,short,8,200,0.0284
coverage,short,8,300,0.0356
coverage,short,8,400,0.0508
coverage,short,8,500,0.06
coverage,short,8,600,0.0712
coverage,short,8,700,0.08
coverage,short,8,800,0.0984
coverage,short,8,900,0.1104
coverage,short,8,1000,0.1184
coverage,short,8,1100,0.1268
coverage,short,8,1200,0.1392
coverage,short,8,1300,0.1508
coverage,short,8,1400,0.1604
coverage,short,8,1500,0.1728
coverage,short,9,100,0.0216
coverage,short,9,200,0.036
coverage,short,9,300,0.0444
coverage,short,9,400,0.0516
coverage,short,9,500,0.0548
coverage,short,9,600,0.0648
coverage,short,9,700,0.0708
coverage,short,9,800,0.0756
coverage,short,9,900,0.076
coverage,short,9,1000,0.0768
coverage,short,9,1100,0.0768
coverage,short,9,1200,0.0792
coverage,short,9,1300,0.0816
coverage,short,9,1400,0.0816
coverage,short,9,1500,0.0856
qlearning,short,0,100,0.0148
qlearning,short,0,200,0.0372
qlearning,short,0,300,0.0532
qlearning,short,0,400,0.0648
qlearning,short,0,500,0.066
qlearning,short,0,600,0.0712
qlearning,short,0,700,0.0728
qlearning,short,0,800,0.082
qlearning,short,0,900,0.0932
qlearning,short,0,1000,0.0948
qlearning,short,0,1100,0.1004
qlearning,short,0,1200,0.1064
qlearning,short,0,1300,0.108
qlearning,short,0,1400,0.1144
qlearning,short,0,1500,0.1176
qlearning,short,1,100,0.0152
qlearning,short,1,200,0.0244
qlearning,short,1,300,0.034
qlearning,short,1,400,0.0416
qlearning,short,1,500,0.048
qlearning,short,1,600,0.0636
qlearning,short,1,700,0.086
qlearning,short,1,800,0.0992
qlearning,short,1,900,0.1068
qlearning,short,1,1000,0.1188
qlearning,short,1,1100,0.1292
qlearning,short,1,1200,0.1436
qlearning,short,1,1300,0.1532
qlearning,short,1,1400,0.1604
qlearning,short,1,1500,0.1736
qlearning,short,2,100,0.0192
qlearning,short,2,200,0.0404
qlearning,short,2,300,0.0564
qlearning,short,2,400,0.0656
qlearning,short,2,500,0.072
qlearning,short,2,600,0.0744
qlearning,short,2,700,0.086
qlearning,short,2,800,0.0996
qlearning,short,2,900,0.1072
qlearning,short,2,1000,0.1096
qlearning,short,2,1100,0.12
qlearning,short,2,1200,0.1252
qlearning,short,2,1300,0.13
qlearning,short,2,1400,0.132
qlearning,short,2,1500,0.1336
qlearning,short,3,100,0.0244
qlearning,short,3,200,0.0436
qlearning,short,3,300,0.0568
qlearning,short,3,400,0.0732
qlearning,short,3,500,0.0824
qlearning,short,3,600,0.1052
qlearning,short,3,700,0.114
qlearning,short,3,800,0.1312
qlearning,short,3,900,0.1436
qlearning,short,3,1000,0.1492
qlearning,short,3,1100,0.162
qlearning,short,3,1200,0.1664
qlearning,short,3,1300,0.1676
qlearning,short,3,1400,0.168
qlearning,short,3,1500,0.1684
qlearning,short,4,100,0.0148
qlearning,short,4,200,0.0252
qlearning,short,4,300,0.04
qlearning,short,4,400,0.0604
qlearning,short,4,500,0.0684
qlearning,short,4,600,0.0788
qlearning,short,4,700,0.082
qlearning,short,4,800,0.092
qlearning,short,4,900,0.0992
qlearning,short,4,1000,0.1096
qlearning,short,4,1100,0.1144
qlearning,short,4,1200,0.1268
qlearning,short,4,1300,0.1368
qlearning,short,4,1400,0.1468
qlearning,short,4,1500,0.1548
qlearning,short,5,100,0.0168
qlearning,short,5,200,0.0388
qlearning,short,5,300,0.0604
qlearning,short,5,400,0.0772
qlearning,short,5,500,0.0876
qlearning,short,5,600,0.0996
qlearning,short,5,700,0.1092
qlearning,short,5,800,0.1176
qlearning,short,5,900,0.1272
qlearning,short,5,1000,0.1348
qlearning,short,5,1100,0.1404
qlearning,short,5,1200,0.1472
qlearning,short,5,1300,0.1528
qlearning,short,5,1400,0.1588
qlearning,short,5,1500,0.1632
qlearning,short,6,100,0.0232
qlearning,short,6,200,0.042
qlearning,short,6,300,0.056
qlearning,short,6,400,0.0772
qlearning,short,6,500,0.0844
qlearning,short,6,600,0.094
qlearning,short,6,700,0.1056
qlearning,short,6,800,0.1216
qlearning,short,6,900,0.1352
qlearning,short,6,1000,0.1524
qlearning,short,6,1100,0.168
qlearning,short,6,1200,0.1772
qlearning,short,6,1300,0.1884
qlearning,short,6,1400,0.1964
qlearning,short,6,1500,0.2116
qlearning,short,7,100,0.024
qlearning,short,7,200,0.0368
qlearning,short,7,300,0.054
qlearning,short,7,400,0.0676
